name,address,phone,hours,place_id,lat,lng,rating,business_status
Miami Kava & Coffee - Magic City,393 NE 59th St, Miami, FL 33137, USA,(305) 603-8258,Monday: 11:00 AM – 11:15 PM;Tuesday: 11:00 AM – 11:15 PM;Wednesday: 11:00 AM – 11:15 PM;Thursday: 11:00 AM – 11:15 PM;Friday: 11:00 AM – 11:15 PM;Saturday: 11:00 AM – 11:15 PM;Sunday: 11:00 AM – 11:15 PM,ChIJA5RHusex2YgR1S8fexhmbhg,25.8300486,-80.1883118,4.7,OPERATIONAL
Jax Beach Kava Bar,1372 Beach Blvd, Jacksonville Beach, FL 32250, USA,(904) 595-5786,Monday: 9:00 AM – 2:00 AM;Tuesday: 9:00 AM – 2:00 AM;Wednesday: 9:00 AM – 2:00 AM;Thursday: 9:00 AM – 2:00 AM;Friday: 9:00 AM – 2:00 AM;Saturday: 9:00 AM – 2:00 AM;Sunday: 9:00 AM – 2:00 AM,ChIJg0rOUS1J5IgRHGzKwt31X7A,30.2874805,-81.40385959999999,4.8,OPERATIONAL
Kava & Company - San Marco,1224 Kings Ave, Jacksonville, FL 32207, USA,(904) 551-3809,Monday: 9:00 AM – 12:00 AM;Tuesday: 9:00 AM – 12:00 AM;Wednesday: 9:00 AM – 2:00 AM;Thursday: 9:00 AM – 2:00 AM;Friday: 9:00 AM – 2:00 AM;Saturday: 9:00 AM – 2:00 AM;Sunday: 9:00 AM – 12:00 AM,ChIJzTVIQYi35YgRtk8weDuqL5Y,30.3131574,-81.6539969,4.9,OPERATIONAL
Kava Garden South of Fifth,100 Collins Ave, Miami Beach, FL 33139, USA,(305) 619-7697,Monday: 10:00 AM – 12:00 AM;Tuesday: 10:00 AM – 12:00 AM;Wednesday: 10:00 AM – 12:00 AM;Thursday: 10:00 AM – 12:00 AM;Friday: 10:00 AM – 1:00 AM;Saturday: 10:00 AM – 1:00 AM;Sunday: 11:00 AM – 1:00 AM,ChIJjYa9Gui12YgRdgmnznd-1Eo,25.7701127,-80.134288,4.9,OPERATIONAL
Miami Kava & Coffee - Biscayne,275 NE 18th St CU#110, Miami, FL 33132, USA,(305) 456-0018,Monday: 10:00 AM – 8:00 PM;Tuesday: 10:00 AM – 8:00 PM;Wednesday: 10:00 AM – 8:00 PM;Thursday: 10:00 AM – 8:00 PM;Friday: 10:00 AM – 8:00 PM;Saturday: 10:00 AM – 8:00 PM;Sunday: 10:00 AM – 5:00 PM,ChIJGemRAY632YgRqiKnEhf3hCc,25.7942314,-80.1892395,4.9,OPERATIONAL
Kava Kavern,6909 Biscayne Blvd, Miami, FL 33138, USA,(786) 963-0234,Monday: 8:30 AM – 2:00 AM;Tuesday: 8:30 AM – 2:00 AM;Wednesday: 8:30 AM – 2:00 AM;Thursday: 8:30 AM – 2:00 AM;Friday: 8:30 AM – 3:00 AM;Saturday: 10:00 AM – 3:00 AM;Sunday: 10:00 AM – 2:00 AM,ChIJKWPcgdGz2YgR7FNnLW2wO44,25.839089,-80.18408459999999,4.8,OPERATIONAL
Kava Villa,125 NW 23rd St, Miami, FL 33127, USA,(305) 987-8131,Monday: 11:00 AM – 1:00 AM;Tuesday: 11:00 AM – 1:00 AM;Wednesday: 11:00 AM – 2:00 AM;Thursday: 11:00 AM – 2:00 AM;Friday: 12:00 PM – 2:00 AM;Saturday: 12:00 PM – 2:00 AM;Sunday: 12:00 PM – 1:00 AM,ChIJ35keAB232YgR2EfCHpXYEb0,25.7993264,-80.19754259999999,4.7,OPERATIONAL
Elixir Kava Boutique | North Miami,2212 NE 123rd St, North Miami, FL 33181, USA,(786) 580-5197,Monday: 10:00 AM – 11:00 PM;Tuesday: 10:00 AM – 11:00 PM;Wednesday: 10:00 AM – 11:00 PM;Thursday: 10:00 AM – 11:00 PM;Friday: 10:00 AM – 11:00 PM;Saturday: 10:00 AM – 11:00 PM;Sunday: 10:00 AM – 11:00 PM,ChIJHc42fTyz2YgR1_KlYnb2l8o,25.8892557,-80.153472,5,OPERATIONAL
Syndicate Wynwood,2451 NW 5th Ave, Miami, FL 33127, USA,(561) 321-8601,Monday: 9:30 AM – 3:00 AM;Tuesday: 9:30 AM – 3:00 AM;Wednesday: 9:30 AM – 3:00 AM;Thursday: 9:30 AM – 3:00 AM;Friday: 9:30 AM – 3:00 AM;Saturday: 9:30 AM – 3:00 AM;Sunday: 9:30 AM – 3:00 AM,ChIJgcV-zbG22YgRTJGMSVDeKa0,25.80045,-80.2029767,4.6,OPERATIONAL
Purple Lotus Kava Bar,1424 Alton Rd, Miami Beach, FL 33139, USA,(561) 379-3667,Monday: 9:00 AM – 2:00 AM;Tuesday: 9:00 AM – 2:00 AM;Wednesday: 9:00 AM – 2:00 AM;Thursday: 9:00 AM – 2:00 AM;Friday: 9:00 AM – 2:00 AM;Saturday: 1:00 PM – 2:00 AM;Sunday: 1:00 PM – 2:00 AM,ChIJ2ZpmzPG02YgR0aHozAly8qM,25.786155,-80.14148449999999,4.5,OPERATIONAL
Kava Culture Kava Bar,33 E Robinson St Suite 100, Orlando, FL 32801, USA,(407) 250-5225,Monday: 7:00 AM – 2:00 AM;Tuesday: 7:00 AM – 2:00 AM;Wednesday: 7:00 AM – 2:00 AM;Thursday: 7:00 AM – 2:00 AM;Friday: 7:00 AM – 3:30 AM;Saturday: 7:00 AM – 3:30 AM;Sunday: 7:00 AM – 2:00 AM,ChIJO1zBZKB754gRzgSlt0bZU_k,28.5459555,-81.3783921,4.8,OPERATIONAL
